iter	Passed	Remaining
0	7	11092
1	14	10989
2	21	10928
3	29	10994
4	36	11010
5	43	10902
6	51	11014
7	59	11049
8	67	11173
9	74	11141
10	82	11130
11	89	11107
12	96	11038
13	103	11030
14	111	11020
15	118	11019
16	126	11010
17	133	11015
18	141	11004
19	148	11019
20	156	11000
21	163	11017
22	171	11013
23	179	11029
24	186	10982
25	193	10989
26	201	10990
27	208	10986
28	215	10954
29	223	10950
30	231	10974
31	239	10981
32	246	10968
33	254	10968
34	262	10992
35	270	10994
36	278	10997
37	285	10987
38	293	11008
39	301	11013
40	309	11026
41	317	11032
42	325	11044
43	333	11047
44	342	11060
45	349	11035
46	357	11045
47	364	11037
48	372	11044
49	381	11054
50	389	11056
51	397	11077
52	406	11085
53	414	11097
54	422	11105
55	431	11131
56	439	11132
57	448	11147
58	456	11145
59	463	11130
60	471	11129
61	479	11130
62	488	11131
63	497	11165
64	505	11162
65	513	11161
66	521	11164
67	530	11173
68	538	11158
69	546	11157
70	554	11158
71	562	11161
72	570	11159
73	579	11161
74	587	11164
75	596	11177
76	604	11180
77	613	11182
78	620	11161
79	628	11164
80	637	11164
81	645	11165
82	654	11169
83	662	11174
84	671	11176
85	679	11170
86	687	11165
87	695	11167
88	704	11161
89	712	11158
90	719	11139
91	728	11145
92	736	11145
93	744	11134
94	752	11131
95	761	11132
96	769	11127
97	777	11122
98	785	11116
99	794	11122
100	802	11118
101	811	11119
102	819	11115
103	828	11120
104	837	11121
105	845	11118
106	853	11115
107	862	11113
108	870	11104
109	878	11098
110	886	11090
111	894	11090
112	902	11071
113	910	11067
114	918	11060
115	927	11065
116	935	11059
117	944	11057
118	951	11047
119	959	11035
120	967	11026
121	974	11011
122	983	11007
123	991	11006
124	999	10998
125	1008	11002
126	1017	10995
127	1025	10992
128	1032	10975
129	1041	10972
130	1049	10964
131	1056	10946
132	1064	10941
133	1072	10935
134	1080	10922
135	1088	10921
136	1096	10909
137	1104	10901
138	1112	10895
139	1120	10886
140	1128	10875
141	1136	10871
142	1144	10862
143	1152	10856
144	1161	10851
145	1168	10834
146	1176	10830
147	1185	10826
148	1193	10818
149	1200	10801
150	1208	10793
151	1216	10786
152	1224	10777
153	1232	10772
154	1240	10765
155	1248	10752
156	1256	10744
157	1264	10736
158	1272	10732
159	1280	10724
160	1289	10721
161	1297	10715
162	1305	10710
163	1314	10706
164	1322	10701
165	1331	10697
166	1338	10687
167	1346	10678
168	1355	10672
169	1362	10663
170	1370	10655
171	1378	10645
172	1387	10641
173	1394	10628
174	1402	10619
175	1411	10616
176	1419	10606
177	1427	10605
178	1435	10596
179	1444	10591
180	1452	10587
181	1460	10576
182	1468	10567
183	1476	10562
184	1485	10558
185	1493	10552
186	1500	10536
187	1508	10527
188	1516	10521
189	1525	10515
190	1532	10502
191	1540	10496
192	1548	10483
193	1556	10476
194	1564	10470
195	1572	10463
196	1580	10453
197	1588	10443
198	1595	10430
199	1603	10421
200	1611	10414
201	1620	10409
202	1627	10399
203	1635	10392
204	1643	10385
205	1652	10382
206	1661	10375
207	1668	10365
208	1676	10356
209	1685	10351
210	1694	10348
211	1702	10343
212	1710	10333
213	1718	10328
214	1726	10321
215	1734	10311
216	1742	10302
217	1750	10295
218	1758	10288
219	1766	10279
220	1774	10270
221	1783	10264
222	1790	10253
223	1798	10245
224	1805	10231
225	1813	10223
226	1821	10214
227	1829	10206
228	1837	10199
229	1844	10184
230	1852	10178
231	1860	10168
232	1868	10159
233	1876	10152
234	1883	10139
235	1891	10132
236	1900	10126
237	1908	10117
238	1915	10108
239	1924	10101
240	1931	10092
241	1938	10075
242	1946	10069
243	1953	10056
244	1962	10055
245	1971	10047
246	1978	10037
247	1987	10032
248	1994	10022
249	2002	10014
250	2011	10007
251	2018	9995
252	2025	9984
253	2032	9971
254	2040	9963
255	2048	9956
256	2056	9948
257	2065	9942
258	2072	9932
259	2081	9926
260	2089	9918
261	2096	9907
262	2103	9895
263	2111	9885
264	2119	9877
265	2127	9868
266	2134	9857
267	2142	9849
268	2150	9843
269	2158	9833
270	2166	9826
271	2174	9817
272	2182	9808
273	2189	9797
274	2197	9789
275	2205	9782
276	2214	9777
277	2222	9769
278	2231	9767
279	2240	9760
280	2248	9752
281	2256	9744
282	2263	9733
283	2271	9724
284	2279	9719
285	2287	9711
286	2295	9702
287	2303	9693
288	2311	9685
289	2319	9676
290	2326	9667
291	2333	9655
292	2342	9650
293	2350	9640
294	2357	9631
295	2365	9621
296	2373	9614
297	2381	9605
298	2389	9598
299	2397	9589
300	2404	9579
301	2413	9574
302	2421	9566
303	2429	9558
304	2437	9548
305	2445	9543
306	2453	9535
307	2461	9526
308	2469	9519
309	2478	9513
310	2486	9505
311	2494	9498
312	2502	9490
313	2510	9483
314	2518	9475
315	2526	9466
316	2534	9460
317	2543	9453
318	2551	9445
319	2557	9432
320	2566	9425
321	2574	9418
322	2582	9409
323	2590	9402
324	2598	9393
325	2606	9387
326	2614	9379
327	2623	9372
328	2631	9365
329	2639	9356
330	2647	9348
331	2654	9339
332	2662	9329
333	2670	9322
334	2678	9315
335	2686	9306
336	2694	9298
337	2702	9289
338	2709	9280
339	2717	9272
340	2725	9264
341	2733	9254
342	2741	9248
343	2749	9239
344	2757	9231
345	2765	9222
346	2773	9217
347	2782	9209
348	2789	9201
349	2797	9192
350	2805	9183
351	2812	9173
352	2821	9166
353	2828	9157
354	2836	9148
355	2844	9142
356	2852	9133
357	2860	9124
358	2867	9114
359	2874	9104
360	2882	9095
361	2890	9085
362	2897	9076
363	2905	9067
364	2915	9065
365	2923	9058
366	2930	9048
367	2938	9038
368	2945	9027
369	2952	9018
370	2960	9009
371	2968	9000
372	2981	9008
373	2989	8999
374	2997	8991
375	3004	8981
376	3012	8973
377	3020	8966
378	3028	8958
379	3036	8950
380	3043	8940
381	3051	8931
382	3059	8923
383	3068	8916
384	3076	8909
385	3083	8900
386	3091	8892
387	3099	8882
388	3106	8871
389	3114	8863
390	3122	8855
391	3129	8846
392	3136	8835
393	3144	8826
394	3151	8816
395	3158	8804
396	3165	8795
397	3172	8784
398	3180	8776
399	3187	8766
400	3195	8758
401	3203	8751
402	3212	8744
403	3220	8736
404	3227	8727
405	3236	8719
406	3244	8712
407	3251	8702
408	3259	8694
409	3267	8686
410	3275	8677
411	3283	8669
412	3291	8662
413	3299	8653
414	3306	8645
415	3313	8635
416	3321	8625
417	3329	8617
418	3336	8608
419	3343	8598
420	3351	8589
421	3359	8580
422	3366	8572
423	3374	8564
424	3383	8557
425	3390	8548
426	3399	8541
427	3408	8536
428	3416	8529
429	3424	8521
430	3432	8513
431	3440	8506
432	3448	8498
433	3456	8488
434	3463	8478
435	3471	8471
436	3479	8463
437	3487	8455
438	3494	8445
439	3502	8438
440	3510	8430
441	3518	8422
442	3525	8412
443	3533	8403
444	3540	8394
445	3548	8386
446	3555	8376
447	3563	8368
448	3571	8360
449	3579	8351
450	3586	8342
451	3594	8333
452	3601	8324
453	3609	8316
454	3617	8309
455	3625	8300
456	3633	8292
457	3641	8284
458	3649	8276
459	3656	8267
460	3664	8259
461	3672	8251
462	3679	8241
463	3687	8234
464	3695	8225
465	3703	8218
466	3711	8209
467	3718	8200
468	3727	8193
469	3734	8184
470	3742	8175
471	3750	8168
472	3758	8160
473	3766	8152
474	3774	8144
475	3782	8137
476	3790	8128
477	3797	8120
478	3805	8112
479	3813	8104
480	3820	8094
481	3827	8084
482	3835	8075
483	3843	8067
484	3850	8058
485	3857	8049
486	3865	8041
487	3873	8033
488	3881	8025
489	3890	8018
490	3897	8009
491	3905	8002
492	3913	7993
493	3921	7985
494	3928	7976
495	3937	7969
496	3943	7958
497	3951	7950
498	3959	7942
499	3967	7934
500	3974	7925
501	3982	7917
502	3990	7908
503	3997	7898
504	4004	7890
505	4011	7880
506	4019	7871
507	4026	7863
508	4033	7853
509	4041	7844
510	4048	7835
511	4055	7826
512	4063	7817
513	4071	7809
514	4078	7800
515	4085	7790
516	4092	7781
517	4100	7774
518	4108	7765
519	4116	7757
520	4124	7749
521	4132	7741
522	4140	7733
523	4148	7726
524	4156	7718
525	4164	7711
526	4172	7703
527	4180	7695
528	4188	7687
529	4195	7679
530	4203	7670
531	4210	7661
532	4218	7653
533	4225	7644
534	4234	7637
535	4242	7629
536	4249	7620
537	4256	7611
538	4264	7602
539	4271	7594
540	4279	7585
541	4286	7577
542	4294	7568
543	4301	7559
544	4309	7550
545	4316	7541
546	4323	7533
547	4331	7525
548	4339	7517
549	4347	7509
550	4356	7502
551	4363	7494
552	4371	7486
553	4379	7477
554	4387	7470
555	4395	7463
556	4403	7455
557	4412	7448
558	4419	7440
559	4428	7432
560	4435	7424
561	4443	7416
562	4450	7407
563	4460	7401
564	4469	7395
565	4477	7388
566	4484	7379
567	4491	7369
568	4499	7361
569	4506	7352
570	4512	7342
571	4520	7333
572	4527	7324
573	4535	7317
574	4543	7309
575	4551	7301
576	4559	7293
577	4567	7285
578	4574	7276
579	4582	7268
580	4589	7259
581	4597	7252
582	4605	7244
583	4612	7235
584	4620	7227
585	4628	7219
586	4636	7211
587	4643	7202
588	4651	7193
589	4658	7185
590	4666	7176
591	4673	7167
592	4680	7159
593	4688	7150
594	4695	7141
595	4703	7133
596	4710	7125
597	4718	7117
598	4726	7110
599	4735	7102
600	4742	7093
601	4750	7086
602	4758	7078
603	4766	7071
604	4775	7064
605	4783	7056
606	4792	7050
607	4801	7044
608	4810	7038
609	4819	7031
610	4827	7023
611	4835	7016
612	4843	7008
613	4851	7001
614	4860	6994
615	4867	6985
616	4876	6978
617	4884	6971
618	4892	6963
619	4900	6955
620	4908	6948
621	4916	6940
622	4924	6932
623	4932	6925
624	4940	6917
625	4949	6910
626	4957	6902
627	4965	6894
628	4973	6886
629	4981	6878
630	4989	6871
631	4997	6862
632	5005	6855
633	5012	6847
634	5021	6839
635	5028	6831
636	5036	6823
637	5044	6815
638	5051	6806
639	5059	6798
640	5067	6790
641	5075	6783
642	5083	6775
643	5090	6766
644	5098	6758
645	5106	6750
646	5114	6742
647	5122	6735
648	5130	6727
649	5138	6719
650	5147	6712
651	5155	6705
652	5163	6697
653	5171	6689
654	5178	6681
655	5186	6672
656	5194	6664
657	5201	6656
658	5208	6646
659	5215	6638
660	5223	6630
661	5231	6621
662	5238	6612
663	5245	6603
664	5251	6594
665	5259	6586
666	5267	6578
667	5275	6570
668	5283	6563
669	5291	6555
670	5299	6547
671	5307	6539
672	5315	6532
673	5324	6524
674	5332	6517
675	5339	6508
676	5346	6500
677	5354	6492
678	5362	6484
679	5370	6475
680	5378	6468
681	5386	6460
682	5394	6452
683	5402	6444
684	5409	6436
685	5417	6427
686	5425	6420
687	5432	6411
688	5440	6404
689	5448	6396
690	5457	6389
691	5465	6381
692	5473	6373
693	5481	6365
694	5489	6358
695	5497	6350
696	5504	6342
697	5512	6333
698	5521	6326
699	5528	6318
700	5536	6310
701	5544	6302
702	5551	6294
703	5559	6286
704	5567	6278
705	5575	6270
706	5583	6263
707	5591	6254
708	5598	6246
709	5606	6238
710	5614	6230
711	5621	6221
712	5629	6213
713	5636	6205
714	5645	6197
715	5652	6189
716	5661	6182
717	5669	6175
718	5677	6167
719	5685	6159
720	5693	6151
721	5701	6143
722	5709	6135
723	5716	6127
724	5724	6119
725	5732	6111
726	5740	6104
727	5748	6096
728	5756	6088
729	5764	6080
730	5771	6071
731	5780	6064
732	5788	6056
733	5795	6048
734	5803	6039
735	5810	6031
736	5817	6023
737	5825	6014
738	5832	6006
739	5840	5997
740	5847	5989
741	5855	5981
742	5862	5973
743	5869	5964
744	5877	5956
745	5885	5948
746	5892	5939
747	5899	5931
748	5907	5923
749	5915	5915
750	5924	5908
751	5931	5900
752	5939	5892
753	5947	5883
754	5954	5875
755	5962	5867
756	5970	5860
757	5978	5851
758	5985	5843
759	5993	5835
760	6000	5827
761	6008	5819
762	6016	5811
763	6023	5802
764	6031	5794
765	6039	5787
766	6048	5780
767	6056	5773
768	6065	5765
769	6073	5757
770	6081	5749
771	6088	5741
772	6096	5733
773	6104	5725
774	6112	5717
775	6120	5710
776	6128	5702
777	6136	5694
778	6144	5687
779	6152	5679
780	6160	5671
781	6168	5663
782	6176	5655
783	6183	5647
784	6190	5638
785	6198	5630
786	6206	5622
787	6214	5614
788	6221	5606
789	6229	5598
790	6236	5589
791	6244	5582
792	6252	5574
793	6259	5565
794	6266	5557
795	6274	5549
796	6281	5540
797	6288	5532
798	6296	5524
799	6303	5515
800	6311	5507
801	6318	5499
802	6325	5490
803	6332	5482
804	6340	5473
805	6347	5465
806	6355	5457
807	6362	5448
808	6369	5440
809	6377	5432
810	6384	5424
811	6391	5415
